fecha,recaudacion_privados,recaudacion_publicos,recaudacion_total
2023-05-01,1252195.0,231674.0,1483869.0
2023-06-01,1263608.0,234001.0,1497609.0
2023-07-01,1275908.0,238000.0,1513908.0
2023-08-01,1271834.0,236006.0,1507840.0
2023-09-01,1279932.0,237388.0,1517320.0
2023-10-01,1283132.0,238187.0,1521319.0
2023-11-01,1290981.0,237318.0,1528299.0
2023-12-01,1300494.0,237451.0,1537945.0
2024-01-01,1308805.0,241263.0,1550068.0
2024-02-01,1287227.0,235302.0,1522529.0
2024-03-01,1282335.0,237156.0,1519491.0
2024-04-01,1281544.0,237791.0,1519335.0
2024-05-01,1286667.0,236934.0,1523601.0
2024-06-01,1300204.0,238672.0,1538876.0
2024-07-01,1298308.0,242061.0,1540369.0
2024-08-01,1303008.0,240698.0,1543706.0
2024-09-01,1302971.0,239776.0,1542747.0
2024-10-01,1309311.0,241792.0,1551103.0
2024-11-01,1322268.0,240542.0,1562810.0
2024-12-01,1329880.0,240809.0,1570689.0
2025-01-01,1335616.0,244179.0,1579795.0
2025-02-01,1304107.0,239200.0,1543307.0
2025-03-01,1308313.0,240534.0,1548847.0
2025-04-01,1315501.0,241281.0,1556782.0
